split,subject,protocol,tau,gated,coverage,selective_risk,n_windows
within/s02/d03_t01,s02,within-session,0.65,True,0.9792213473315835,0.030377484922939468,4572
within/s02/d03_t01,s02,within-session,0.7,True,0.9704724409448819,0.028172188415596124,4572
within/s02/d03_t01,s02,within-session,0.75,True,0.9630358705161854,0.027481262775380422,4572
within/s02/d03_t01,s02,within-session,0.8,True,0.9468503937007874,0.02564102564102564,4572
within/s02/d03_t01,s02,within-session,0.85,True,0.9297900262467191,0.02328863796753705,4572
within/s02/d03_t01,s02,within-session,0.9,True,0.899825021872266,0.02066115702479339,4572
within/s02/d03_t01,s02,within-session,0.95,True,0.8278652668416447,0.015852047556142668,4572
within/s02/d03_t01,s02,within-session,0.99,True,0.6082677165354331,0.008270406328658756,4572
within/s02/d03_t02,s02,within-session,0.5,False,1.0,0.05144623537204681,4529
within/s02/d03_t02,s02,within-session,0.55,True,0.9874144402737911,0.04628801431127012,4529
within/s02/d03_t02,s02,within-session,0.6,True,0.9748288805475822,0.04190260475651189,4529
within/s02/d03_t02,s02,within-session,0.65,True,0.9664385073967763,0.03838245373543523,4529
within/s02/d03_t02,s02,within-session,0.7,True,0.9547361448443364,0.03330249768732655,4529
within/s02/d03_t02,s02,within-session,0.75,True,0.9428129829984544,0.030913348946135833,4529
within/s02/d03_t02,s02,within-session,0.8,True,0.9251490395230735,0.02649164677804296,4529
within/s02/d03_t02,s02,within-session,0.85,True,0.9015235151247516,0.022777369581190303,4529
within/s02/d03_t02,s02,within-session,0.9,True,0.8708324133362774,0.017748478701825558,4529
within/s02/d03_t02,s02,within-session,0.95,True,0.8098918083462133,0.010359869138495093,4529
within/s02/d03_t02,s02,within-session,0.99,True,0.6127180393022742,0.003243243243243243,4529
within/s02/d04_t01,s02,within-session,0.5,False,1.0,0.04527472527472527,4550
within/s02/d04_t01,s02,within-session,0.55,True,0.9958241758241758,0.04414036636504083,4550
