protocol,split,n_train,n_test,accuracy,balanced_accuracy,ece,brier,nll,false_assist_rate,meta_subject,meta_session,meta_split_by,meta_train_repetitions,meta_test_repetitions,meta_train_sessions,meta_test_session,meta_sessions_elapsed,meta_held_out_subject,meta_warning,meta_seed
within-session,within/s02/d01_t01,9057,4554,0.5799297321036452,0.4929821229542076,0.06940010577150202,0.535727396391948,1.176709678175317,0.00878348704435661,s02,d01_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d01_t02,9090,4511,0.5402349811571714,0.46397373752668364,0.0678909242219349,0.5747358348315358,1.3054644842328653,0.019951230325870095,s02,d01_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d02_t01,9055,4552,0.5388840070298769,0.4856948518000035,0.08337212372819319,0.5824568562470641,1.3615315390835885,0.018892794376098417,s02,d02_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d02_t02,1293,666,0.8588588588588588,0.6269809791512183,0.040496756228054646,0.09400354162506275,0.2987919240434853,0.10960960960960961,s02,d02_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d03_t01,9093,4572,0.5304024496937882,0.464808982561824,0.06703054166395794,0.5878016741688279,1.3117209561128067,0.0026246719160104987,s02,d03_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d03_t02,9039,4529,0.5120335614926033,0.44191922465625677,0.11439056344377063,0.6072673307605966,1.354998117960552,0.00883197173769044,s02,d03_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d04_t01,9073,4550,0.5668131868131868,0.4819056506328492,0.08209403752985796,0.541183157214762,1.2884801424283832,0.004615384615384616,s02,d04_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d04_t02,9052,4524,0.5610079575596817,0.485063456411268,0.06981020494782114,0.5428164928853216,1.1276576038266526,0.0015473032714412025,s02,d04_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d05_t01,9056,4547,0.5599296239278645,0.4929313497589505,0.11533871164288058,0.563838380817925,1.2629456398307795,0.0052782054101605455,s02,d05_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d05_t02,9088,4525,0.5253038674033149,0.45943257383235847,0.1225720740709796,0.6133646258773813,1.486562102066354,0.019889502762430938,s02,d05_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
