protocol,split,n_train,n_test,accuracy,balanced_accuracy,ece,brier,nll,false_assist_rate,meta_subject,meta_session,meta_split_by,meta_train_repetitions,meta_test_repetitions,meta_train_sessions,meta_test_session,meta_sessions_elapsed,meta_held_out_subject,meta_warning,meta_seed
cross-session,cross-session/s01/d04_t02,13580,13377,0.9485684383643568,0.9405507053368847,0.012922411816493113,0.039164854818407466,0.14249633742615775,0.01816550796142633,s01,,,,,d01_t01,d04_t02,7,,,
cross-session,cross-session/s01/d05_t01,13580,13583,0.9409556062725466,0.9566213831561705,0.01599855791026196,0.0396935388445846,0.12471378522643599,0.00301847898107929,s01,,,,,d01_t01,d05_t01,8,,,
cross-session,cross-session/s01/d05_t02,13580,13628,0.9459201643674787,0.9460025494653237,0.012147869388074911,0.04059024428428768,0.16052754676349543,0.012914587613736424,s01,,,,,d01_t01,d05_t02,9,,,
cross-session,cross-session/s02/d01_t02,13611,13601,0.9566208367031835,0.9471976499453247,0.02103090602656088,0.033693599264548346,0.16508775891611563,0.0189691934416587,s02,,,,,d01_t01,d01_t02,1,,,
cross-session,cross-session/s02/d02_t01,13611,13607,0.9468655838906446,0.9540708525195813,0.03080995633330262,0.043668181153039304,0.16604122960168097,0.007422650106562799,s02,,,,,d01_t01,d02_t01,2,,,
cross-session,cross-session/s02/d02_t02,13611,1959,0.5803981623277182,0.6119151876824511,0.21805477426771008,0.27571761164874653,0.8257472196237127,0.04849412965798877,s02,,,,,d01_t01,d02_t02,3,,,
cross-session,cross-session/s02/d03_t01,13611,13665,0.9435053055250641,0.9587234710474147,0.022816145906660597,0.04302532034909336,0.15655568385430843,0.003000365898280278,s02,,,,,d01_t01,d03_t01,4,,,
cross-session,cross-session/s02/d03_t02,13611,13568,0.9560731132075472,0.9658585481505668,0.012923185879852937,0.03365789495549649,0.1199662190964012,0.0036851415094339623,s02,,,,,d01_t01,d03_t02,5,,,
cross-session,cross-session/s02/d04_t01,13611,13623,0.9425236731997357,0.9252559927244819,0.02917127290263776,0.04355089703812319,0.17092437559311316,0.027747192248403437,s02,,,,,d01_t01,d04_t01,6,,,
cross-session,cross-session/s02/d04_t02,13611,13576,0.9759133765468474,0.9792605963388891,0.004963473066667242,0.019341475386565162,0.07093073165039342,0.0034619917501473186,s02,,,,,d01_t01,d04_t02,7,,,
cross-session,cross-session/s02/d05_t01,13611,13603,0.9485407630669705,0.9406018036913509,0.017757824827510673,0.03901341991097276,0.13935671619726117,0.01742262736161141,s02,,,,,d01_t01,d05_t01,8,,,
cross-session,cross-session/s02/d05_t02,13611,13613,0.9644457503856607,0.9591689135134587,0.007452890478001667,0.026629503137965096,0.09790347588660091,0.01358995078234041,s02,,,,,d01_t01,d05_t02,9,,,
cross-subject,cross-subject/s01,124426,135319,0.9500956997908645,0.947891392112881,0.018057559134945462,0.036491496462238114,0.12852258557782947,0.013848757380707809,,,,,,,,,s01,,
cross-subject,cross-subject/s02,135319,124426,0.9440551010239018,0.9416861583733076,0.01608882312574105,0.043533653335639806,0.18107230400415986,0.015446932313182133,,,,,,,,,s02,,
random-shuffle,random-shuffle/control,181821,77924,0.9616036137775268,0.9509842029829362,0.007474395176080434,0.029898599081961352,0.11443982407172462,0.01723474154304194,,,,,,,,,,leaky by construction — control condition only,0
